,Keyword,Likes,Comments,Views
0,tech,3407,672,135612
1,tech,76779,4306,1758063
2,tech,63825,3338,1564007
3,tech,71566,1426,922918
4,tech,96513,5155,1855644
5,tech,33570,1643,943119
6,tech,135047,9367,5937790
7,tech,216935,12605,4782514
8,tech,45565,2882,7001236
9,tech,24252,1068,667767
10,tech,118001,4123,2359142
11,tech,20999,3091,413179
12,tech,15322,547,389114
13,tech,17866,157,444953
14,tech,13217,442,371563
15,tech,26890,4999,1633059
16,tech,9562,199,760249
17,tech,11743,143,1086568
18,tech,146978,11105,3186890
19,tech,363771,13609,11422924
20,tech,2117,486,63650
21,tech,42841,1357,1280387
22,tech,23689,2842,530889
23,tech,55231,2175,2122433
24,tech,1289,183,35948
25,tech,970,207,23175
26,tech,1608,273,78520
27,tech,1452,38,63599
28,tech,35758,2056,1006704
29,tech,8725,790,257848
30,tech,110145,3289,2954979
31,tech,12188,326,304037
32,tech,59458,4159,1541386
33,tech,3494,136,589007
34,tech,36423,1902,1085076
35,tech,941,221,25594
36,tech,134194,6102,4098623
37,tech,42075,1820,7188648
38,tech,709,128,25745
39,tech,78852,3926,1889567
40,tech,32102,3243,786765
41,tech,188623,7464,4195072
42,tech,343227,20854,9618335
43,tech,43960,1767,791624
44,tech,77411,2098,2474364
45,tech,24,45,3461
46,tech,4492,169,274201
47,tech,51846,2371,1156785
48,news,1029,2347,97434
49,news,534,538,57858
50,news,8526,3934,544884
51,news,588,887,69951
52,news,137,222,18531
53,news,848,1384,86855
54,news,827,1653,131012
55,news,1200,2841,54596
56,news,1167,180,235019
57,news,1573,2670,60528
58,news,1145,793,106127
59,news,474,1553,75301
60,news,82,26,17145
61,news,23828,47,500097
62,news,775,1517,127082
63,news,8484,2192,237313
64,news,7946,1559,905023
65,news,510,560,34715
66,news,129,7,10642
67,news,1288,3,172513
68,news,257,1,62189
69,news,612,18,60835
70,news,2385,1349,288722
71,news,6379,4853,808787
72,news,1009,451,127803
73,news,5630,1848,533947
74,news,686,18,56683
75,news,7277,1294,796750
76,news,695,121,159877
77,news,15854,5373,1465011
78,news,1030,10,187892
79,news,198,12,17763
80,news,7342,1531,932432
81,news,286,22,23135
82,news,2083,2195,164119
83,news,1728,665,212973
84,news,180,16,13976
85,news,1102,668,106690
86,news,1688,796,89985
87,gaming,8384,1307,176151
88,gaming,63825,3338,1564007
89,gaming,4163,618,133933
90,gaming,2925,121,99244
91,gaming,298406,15609,3773387
92,gaming,549,29,16307
93,gaming,2170,282,126228
94,gaming,1365,256,46436
95,gaming,3516,306,121644
96,gaming,2481,429,67444
97,gaming,2501,193,84565
98,gaming,82449,2673,2007038
99,gaming,1243,21,5967
100,gaming,48710,3417,552256
101,gaming,29966,471,205943
102,gaming,15842,1547,530763
103,gaming,3374,741,82874
104,gaming,8260,195,191777
105,gaming,1525,36,14877
106,gaming,468,164,10351
107,gaming,18208,44,228095
108,gaming,3171,5,19693
109,gaming,1204,135,27564
110,gaming,10556,466,66633
111,gaming,869,155,22860
112,gaming,13492,707,879645
113,gaming,358,23,2386
114,gaming,2677,485,65005
115,gaming,39872,187,246407
116,gaming,46642,1287,268946
117,gaming,674,93,5931
118,gaming,3495,202,226258
119,gaming,789,77,19223
120,gaming,3273,472,31837
121,gaming,4484,459,97946
122,gaming,2700,279,70186
123,gaming,238193,14706,7132206
124,gaming,71905,6315,2381931
125,gaming,9574,537,87891
126,gaming,1215,100,64958
127,gaming,11797,519,364725
128,gaming,2750,116,208701
129,gaming,563,85,14537
130,sports,39944,1677,5093587
131,sports,19987,2358,1335282
132,sports,275577,5431,15040548
133,sports,62969,9809,4288833
134,sports,12785,489,1945140
135,sports,778342,20737,57369066
136,sports,56480,2515,12272628
137,sports,23668,2290,1499121
138,sports,102369,10191,16099483
139,sports,60821,2638,12867358
140,sports,355223,6889,11181957
141,sports,7866,550,619006
142,sports,84728,1451,10909239
143,sports,6920,640,665643
144,sports,22479,299,2020370
145,sports,6568,591,592998
146,sports,127971,3938,20647398
147,sports,11805,1116,961317
148,sports,601464,23466,27922929
149,sports,241605,6650,31518906
150,sports,39999,6387,5683239
151,sports,33316,1335,7795119
152,sports,14899,637,1836457
153,sports,25347,385,9444655
154,sports,11898,1330,901368
155,sports,1096,178,106597
156,sports,6325,391,573655
157,sports,867074,43024,106014469
158,sports,6946,481,647117
159,sports,51562,8289,4282206
160,sports,31796,555,6134948
161,sports,46,6,2219
162,sports,149084,3901,4820297
163,sports,191,35,27378
164,sports,38,1,4114
165,sports,32772,4597,1194578
166,sports,2584,57,1051751
167,sports,15,1,867
168,sports,132236,3715,15110047
169,sports,3991,820,269716
170,sports,2192,144,230945
171,sports,54006,3508,2699810
172,sports,14293,2114,577426
173,sports,1121,91,65057
174,sports,1941,401,83228
175,sports,15872,156,4290144
176,sports,2807,194,203084
177,sports,22288,451,11666184
178,sports,10119,664,891548
179,how-to,135155,11354,2361410
180,how-to,14408,864,275924
181,how-to,315980,6186,13176819
182,how-to,44809,660,1341953
183,how-to,22532,198,443909
184,how-to,295514,5266,8378324
185,how-to,1165120,40435,44943014
186,how-to,136929,3323,5249373
187,how-to,2048,193,58330
188,how-to,169217,2295,7370713
189,how-to,56460,2118,3745331
190,how-to,78076,1822,2947659
191,how-to,28603,1300,855958
192,how-to,910553,81975,52061447
193,how-to,49642,1589,3750968
194,how-to,338470,9618,14322764
195,how-to,46638,2210,1902823
196,how-to,80596,2415,1606273
197,how-to,554,60,15329
198,how-to,723998,14759,31858250
199,how-to,665269,25869,36467409
200,how-to,70465,17616,10097646
201,how-to,600,55,10671
202,how-to,32092,181,425850
203,how-to,347137,7750,13590001
204,how-to,150521,5653,4584546
205,how-to,6773,595,111581
206,how-to,515,184,11848
207,how-to,29551,1213,513997
208,how-to,262633,5960,47276202
209,how-to,99816,4641,8620346
210,how-to,46254,669,2144508
211,how-to,31042,899,698519
212,how-to,45027,1140,5578536
213,how-to,207617,8534,4382539
214,how-to,8227,314,153395
215,how-to,55233,5097,742272
